<<<<<<< HEAD
﻿cobertura,fragmentacoes,frames_por_troca,frames_vistos,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,presenca,primeiro_frame,score_medio,tempo_visto_segundos,time,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,0,53.5,749,2.1507692307692308,14,0,0.9986666666666667,2,0.8994330678812505,29.96,2,"[-1, 0, 3, 8, 15, 16, 22, 26, 27, 35]",14,18.69158878504673,750
1.0,0,249.66666666666666,749,6.28,15,0,0.9986666666666667,2,0.932195265117003,29.96,2,"[-1, 12, 19, 26]",3,4.005340453938585,750
1.0,0,46.8125,749,1.4186666666666667,16,0,0.9986666666666667,2,0.9098014381515619,29.96,2,"[-1, 1, 2, 3, 10, 11, 16, 18, 23, 31, 32, 33]",16,21.36181575433912,750
0.9933244325767691,0,74.4,744,2.3333333333333335,17,2,0.992,2,0.9062085937598148,29.76,2,"[0, 4, 12, 14, 16, 17, 22]",10,13.440860215053764,750
0.998661311914324,0,74.6,746,2.1644444444444444,18,1,0.9946666666666667,4,0.8923093698946304,29.84,2,"[1, 2, 10, 11, 16, 17, 29, 33]",10,13.404825737265416,750
=======
﻿cobertura,fragmentacoes,frames_por_troca,frames_vistos,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,presenca,primeiro_frame,score_medio,tempo_visto_segundos,time,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,0,107.0,749,3.5733333333333333,0,0,0.9986666666666667,2,0.9020085489928897,29.96,1,"[4, 9]",7,9.345794392523365,750
1.0,0,249.66666666666666,749,1.92,1,0,0.9986666666666667,2,0.908878385927824,29.96,1,"[6, 21, 28, 34]",3,4.005340453938585,750
0.9973333333333333,0,748.0,748,29.92,2,2,0.9973333333333333,1,0.9533247453440882,29.92,1,"[-1, 7]",1,1.3368983957219251,750
0.9986648865153538,0,149.6,748,1.22,3,1,0.9973333333333333,2,0.9049852597883055,29.92,1,"[2, 12, 14, 17, 23]",5,6.684491978609626,750
1.0,0,124.83333333333333,749,5.712000000000001,4,0,0.9986666666666667,2,0.8996308175986376,29.96,1,"[-1, 0, 1, 13, 20, 22, 26]",6,8.01068090787717,750
0.998661311914324,0,57.38461538461539,746,2.3566666666666665,5,1,0.9946666666666667,4,0.9107697175021108,29.84,1,"[-1, 0, 3, 13, 16, 17, 24]",13,17.42627345844504,750
1.0,0,44.05882352941177,749,1.775,6,0,0.9986666666666667,2,0.8981364086895369,29.96,1,"[3, 5, 8, 15, 16, 17, 18, 20, 31, 35, 38]",17,22.696929238985312,750
1.0,0,68.0909090909091,749,2.6919999999999997,7,0,0.9986666666666667,2,0.9029961547646672,29.96,1,"[0, 1, 3, 8, 15, 20, 23, 27, 36]",11,14.686248331108144,750
1.0,0,46.8125,749,1.3813333333333333,8,0,0.9986666666666667,2,0.8921569195142902,29.96,1,"[0, 1, 2, 10, 11, 14, 17, 31]",16,21.36181575433912,750
1.0,0,107.0,749,3.58,9,0,0.9986666666666667,2,0.917664476217785,29.96,1,"[0, 8, 10, 16, 21, 26]",7,9.345794392523365,750
1.0,0,57.61538461538461,749,2.2933333333333334,10,0,0.9986666666666667,2,0.8750334510290202,29.96,2,"[-1, 1, 8, 11, 17, 19, 20, 27, 36]",13,17.356475300400533,750
1.0,0,107.0,749,4.846666666666667,11,0,0.9986666666666667,2,0.9167799490396755,29.96,2,"[-1, 0, 11, 14, 16, 25]",7,9.345794392523365,750
0.9973297730307076,0,32.47826086956522,747,1.189090909090909,12,1,0.996,2,0.8720243177511855,29.88,2,"[-1, 0, 1, 8, 10, 11, 14, 16, 17, 23, 25, 27, 30, 31, 32, 33, 37]",23,30.78982597054886,750
1.0,0,249.66666666666666,749,11.68,13,0,0.9986666666666667,2,0.9232012018810111,29.96,2,"[5, 9, 21, 34]",3,4.005340453938585,750
1.0,0,53.5,749,2.1507692307692308,14,0,0.9986666666666667,2,0.8994330678812505,29.96,2,"[-1, 0, 3, 8, 15, 16, 22, 26, 27, 35]",14,18.69158878504673,750
1.0,0,249.66666666666666,749,6.28,15,0,0.9986666666666667,2,0.932195265117003,29.96,2,"[-1, 12, 19, 26]",3,4.005340453938585,750
1.0,0,46.8125,749,1.4186666666666667,16,0,0.9986666666666667,2,0.9098014381515619,29.96,2,"[-1, 1, 2, 3, 10, 11, 16, 18, 23, 31, 32, 33]",16,21.36181575433912,750
0.9933244325767691,0,74.4,744,2.3333333333333335,17,2,0.992,2,0.9062085937598148,29.76,2,"[0, 4, 12, 14, 16, 17, 22]",10,13.440860215053764,750
0.998661311914324,0,74.6,746,2.1644444444444444,18,1,0.9946666666666667,4,0.8923093698946304,29.84,2,"[1, 2, 10, 11, 16, 17, 29, 33]",10,13.404825737265416,750
>>>>>>> 4dc20829d235225851d5c4a93b2901c22a9453e9
