distancia,excluido,frame,grupo_metrica,iou,logical_id,papel,rotulo,score,score_aparencia,score_papel,tracker_id
0.0,False,1,goleiro_time1,1.0,9,goleiro1,GOL-TIME1,0.65,0.0,0.0,10
0.0,False,1,time0,0.9999999604118394,1,time0,TIME0,0.6499999881235518,0.0,0.0,9
0.0,False,1,time0,0.9999998081379075,3,time0,TIME0,0.6499999424413723,0.0,0.0,2
0.0,False,1,time0,0.9999995357914107,2,time0,TIME0,0.6499998607374232,0.0,0.0,4
0.0,False,1,time1,0.9999990664788422,6,time1,TIME1,0.6499997199436527,0.0,0.0,8
2.7706640152122156e-08,False,1,time0,0.9999991269555105,0,time0,TIME0,0.6499996940079075,0.0,0.0,5
0.0,False,1,time0,0.9999983385847298,4,time0,TIME0,0.649999501575419,0.0,0.0,6
0.0,False,1,time1,0.9999981534685664,7,time1,TIME1,0.6499994460405699,0.0,0.0,7
2.7706640152122156e-08,False,1,time1,0.9999981719451297,5,time1,TIME1,0.6499994075047932,0.0,0.0,1
2.7706640152122156e-08,False,1,time1,0.9999977819085483,8,time1,TIME1,0.6499992904938188,0.0,0.0,3
0.00020955591239005023,False,2,goleiro_time1,0.9721647117143148,9,goleiro1,GOL-TIME1,0.6413160291082194,0.0,0.0,10
0.0005020618526646747,False,2,time0,0.9635105665127404,2,time0,TIME0,0.6382544351882191,0.0,0.0,4
0.0005330996751497741,False,2,time0,0.9612475946817471,3,time0,TIME0,0.6375261652849676,0.0,0.0,2
0.0011793328133878904,False,2,time1,0.9627427238192808,8,time1,TIME1,0.6369466183226978,0.0,0.0,3
0.0006728617086927568,False,2,time1,0.9596532717657026,5,time1,TIME1,0.6368255108284253,0.0,0.0,1
0.0006155869426178233,False,2,time0,0.9507935448158288,4,time0,TIME0,0.634258720581493,0.0,0.0,6
0.0006958541073146206,False,2,time1,0.9463219017510246,7,time1,TIME1,0.6327895299000341,0.0,0.0,7
0.00042661301879956667,False,2,time0,0.9445899991790674,1,time0,TIME0,0.6326982972238119,0.0,0.0,9
0.0013205745546814973,False,2,time0,0.9435265049130162,0,time0,TIME0,0.6309570192566732,0.0,0.0,5
0.0014736929204428122,False,2,time1,0.8957987009195506,6,time1,TIME1,0.6163950988115243,0.0,0.0,8
0.0003776567114567897,False,3,time0,0.9730406201597422,4,time0,TIME0,0.9879201174060085,0.9860570874195975,1.0,6
0.00039395752356566365,False,3,goleiro_time1,0.9543854375733668,9,goleiro1,GOL-TIME1,0.985574536973006,0.9991450855375787,1.0,10
0.000570247461162795,False,3,time0,0.9575271564627715,2,time0,TIME0,0.9753199626056586,0.9545073817264319,1.0,4
0.0007484671229548964,False,3,time1,0.9361442312915084,5,time1,TIME1,0.9748741840026826,0.9792707393695569,1.0,1
0.0012039844717760518,False,3,time0,0.9358603826069853,3,time0,TIME0,0.9734845453082114,0.9775708414460484,1.0,2
0.0005683826202911499,False,3,time0,0.9257727890798109,1,time0,TIME0,0.9722688459750576,0.980633731326102,1.0,9
0.0014219097511438115,False,3,time1,0.9294183141927248,7,time1,TIME1,0.9658612185862511,0.9562233779479672,1.0,7
0.0009005021157946382,False,3,time0,0.9092005383461688,0,time0,TIME0,0.9649438348827375,0.97315533790937,1.0,5
0.0017440713070101261,False,3,time1,0.900090896337112,6,time1,TIME1,0.9525650855864835,0.938004670108943,1.0,8
0.0017144911135467797,False,3,time1,0.8975743828208068,8,time1,TIME1,0.9373527001636223,0.880180985245441,1.0,3
0.0007749996942305724,False,4,time0,0.9663114039430741,4,time0,TIME0,0.985236832046208,0.9860570874195975,1.0,6
0.00013405174641643525,False,4,time0,0.9712248104864039,3,time0,TIME0,0.9847778215542351,0.9775708414460484,1.0,2
0.00017030140707800155,False,4,time0,0.9654975031337689,1,time0,TIME0,0.984332518299803,0.980633731326102,1.0,9
0.0005695694060825097,False,4,goleiro_time1,0.9515146120303796,9,goleiro1,GOL-TIME1,0.9842320184707744,0.9991450855375787,1.0,10
0.00019135254158104286,False,4,time1,0.9774053778746316,7,time1,TIME1,0.9812455846082945,0.9562233779479672,1.0,7
0.00020126066879192742,False,4,time0,0.9644431398872984,2,time0,TIME0,0.9772710853326252,0.9545073817264319,1.0,4
0.0012133180379482347,False,4,time1,0.9237210491681612,5,time1,TIME1,0.9704194311871981,0.9792707393695569,1.0,1
0.001162512285318038,False,4,time0,0.9231719390590415,0,time0,TIME0,0.968968231794108,0.97315533790937,1.0,5
0.002254642345073395,False,4,time1,0.8749420838456548,6,time1,TIME1,0.9444609822843897,0.938004670108943,1.0,8
0.0020191746497849445,False,4,time1,0.9186663851640197,8,time1,TIME1,0.943208109873752,0.880180985245441,1.0,3
0.00039513421699688986,False,5,time0,0.9752290138889672,4,time0,TIME0,0.9883930058807606,0.9860570874195975,1.0,6
0.00017077578859017644,False,5,time0,0.9751636843807696,3,time0,TIME0,0.9867164940643266,0.9775708414460484,1.0,2
0.0003372699813298137,False,5,time1,0.980678160051238,7,time1,TIME1,0.9828156756548169,0.9562233779479672,1.0,7
0.00032017620193291416,False,5,time0,0.9559905840372991,1,time0,TIME0,0.9815521183194399,0.980633731326102,1.0,9
0.0006332791475618366,False,5,time1,0.9592370942745226,5,time1,TIME1,0.9815383125181163,0.9792707393695569,1.0,1
0.0005803938817133472,False,5,goleiro_time1,0.9407184523352264,9,goleiro1,GOL-TIME1,0.9813118251803724,0.9991450855375787,1.0,10
0.0003956595338118835,False,5,time0,0.9699978222754543,2,time0,TIME0,0.9788612486267205,0.9545073817264319,1.0,4
0.0018892783447173793,False,5,time0,0.9333760428432704,0,time0,TIME0,0.9710044770783962,0.97315533790937,1.0,5
0.0018888313586868002,False,5,time1,0.9292122269404897,8,time1,TIME1,0.9465468013307344,0.880180985245441,1.0,3
0.00237797260934116,False,5,time1,0.8744922317312106,6,time1,TIME1,0.9446028421661555,0.938004670108943,1.0,8
0.00036996974225052227,False,6,time0,0.9765230297767935,4,time0,TIME0,0.9892590917125685,0.9866459091176938,1.0,6
0.00036012087045168183,False,6,goleiro_time1,0.9601830499688605,9,goleiro1,GOL-TIME1,0.9867071272027917,0.996892655516896,1.0,10
